district|block|cluster|klpid|schoolname|disecode
 bagalkot          | hunagund           | ilkal (urdu crc)          |2584| GOVT UBLPS RAKKASAGI                                       | 
 bagalkot          | hunagund           | ilkal (urdu crc)          |30282| KBS Ilkal Govt Hospital                                    | 
 bagalkot          | hunagund           | ilkal (urdu crc)          |2574| UBHPS N0.3 ILKAL                                           | 
 bagalkot          | hunagund           | sulibhavi                 |30233| GOVT KBHPS MULLUR                                          | 
 bagalkot          | hunagund           | sulibhavi                 |30232| KGHPS Aiholli                                              | 
 bagalkot          | jamakhandi         | hulyal                    |2832| GOVT HPS MAREGUDDI                                         | 
 bagalkot          | jamakhandi         | hunnur                    |2686| GOVT KG HPS HUNNUR                                         | 
 bagalkot          | jamakhandi         | rabakavi                  |2589| GOVT LPS 2 HALINGALI                                       | 
 bagalkot          | jamakhandi         | rabakavi                  |2593| KBLPS HANAGANDI                                            | 
 bagalkot          | jamakhandi         | rampur                    |2648| GOVT HPS YARAGATTI                                         | 
 bagalkot          | jamakhandi         | rampur                    |2649| GOVT KBLPS YARAGATTI TOTA                                  | 
 bagalkot          | mudhol             | hebbal                    |3043| GOVT GIRLS NAVODAYA PRI.SCH. HEBBAL                        |29021102705
 bagalkot          | mudhol             | lokapur                   |2863| LPS GUJARI TOTA, DADANATTI                                 | 
 bagalkot          | mudhol             | mahalingapur kgs          |2990| GOVT UBLPS GADADAGALLI MAHALINGAPUR                        | 
 bagalkot          | mudhol             | mahalingapur kgs          |2980| GOVT UBLPS MADABHAVI                                       |29021104503
 bagalkot          | mudhol             | mahalingapur kgs          |2986| KBLPS T SCHOOL MARAPUR                                     | 
 bagalkot          | mudhol             | mahalingapur mps          |3009| GOVT HPS SIDDAPUR TOTA 2                                   | 
 bagalkot          | mudhol             | mahalingapur mps          |3002| GOVT LPS BELAGALI K TOTA                                   | 
 bagalkot          | mudhol             | mahalingapur mps          |3005| GOVT UBS BELAGALI                                          | 
 bagalkot          | mudhol             | mahalingapur mps          |3022| LPS KENGERI MADDI MAHALINGAPUR                             |29021113102
 bagalkot          | mudhol             | mahalingapur mps          |3023| UBLPS KENGERI MADDI MAHALINGAP                             | 
 bagalkot          | mudhol             | mudhol rm school          |2884| GOVT HPS BALLUR R.C                                        | 
 bagalkot          | mudhol             | mudhol rm school          |2876| GOVT MARATHI BOYS HPS MUDHOL                               | 
 bagalkot          | mudhol             | surgaon                   |2953| GOVT UBLPS SHIROL                                          | 
 bagalkot          | mudhol             | surgaon                   |2957| KADASIDDESHWAR HPS SHIROL                                  |29021107006
 bagalkot          | mudhol             | urdu mudhol               |2902| UBLPS MUDHOL                                               | 
 bagalkot          | mudhol             | yadahalli ingalagi        |2931| GOVT LPS ANANDPABU ASRAM YADAH                             | 
 bagalkot          | mudhol             | yadahalli ingalagi        |2924| GOVT.LPS SONNAD.MACHAKANUR new)                            | 
 bangalore u north | north-1            | byadara halli             |36975| LOHITH HIGH SCHOOL                                         | 
 bangalore u north | north-1            | chikkabidara kallu        |37034| TAKKAR BAPA HS MACHOHALLI                                  | 
 bangalore u north | north-1            | heggana halli             |36922| DEEPASHRI SCHOOL                                           | 
 bangalore u north | north-1            | kamakshi palya            |37077| GHS POLICE COLONY MAGDAI ROAD                              | 
 bangalore u north | north-1            | kamakshi palya            |37078| SRI MARUTHI VIDYA MANDIRA                                  | 
 bangalore u north | north-1            | krishnananda nagara       |36916| TAGORE MEMORIAL HPS YESHWANTHPU                            | 
 bangalore u north | north-1            | laggere                   |36919| K N GEETHA KHPS                                            | 
 bangalore u north | north-1            | rajajinagar               |36924| AMBEDKAR KANNADA H S MAHALAKSH                             | 
 bangalore u north | north-1            | rajajinagar               |36923| BASAVESHWARA KHPS                                          | 
 bangalore u north | north-1            | rajajinagar               |36921| P.V.P GIRLS HIGH SCH RAJAJI                                | 
 bangalore u north | north-1            | shiva nagar               |36918| BASAVESHWARA BOYS HIGH SCH                                 | 
 bangalore u north | north-1            | shiva nagar               |37033| DEENASEVA HPS KAMALANAGAR                                  | 
 bangalore u north | north-1            | ullau new town            |37079| SUJATHA VIDYA SAMSTE HS                                    | 
 bangalore u north | north-2            | palace guttahalli         |36929| M S RAMAIAH H S GOKULA                                     | 
 bangalore u north | north-2            | palace guttahalli         |36953| MAHILA HPS MALLESHWARAM                                    | 
 bangalore u north | north-2            | palace guttahalli         |36956| RAGHAVENDRA H S 3RD CROSS MALLESHWARAM                     | 
 bangalore u north | north-2            | prakashnagar              |37032| BASAVESHWARA GIRLS HPS RAJAJINAGAR                         | 
 bangalore u north | north-2            | sheshadripuram            |36961| KUMARA PARK HIGH SCHOOL                                    | 
 bangalore u north | north-2            | sheshadripuram            |36963| SARASWATHI VIDYANIKETHAN HPS M                             | 
 bangalore u north | north-2            | sheshadripuram            |36958| VISHWAKALANIKETHAN MEPS N NAGAR                            | 
 bangalore u north | north-2            | sri ramapuram             |37097|  BAPUJI RESIDENTIAL HIGH SCHOOL                            | 
 bangalore u north | north-2            | yeshwanthpur              |36930| ANANDA SOCIAL AND EDU SOCIETY                              | 
 bangalore u north | north-2            | yeshwanthpur              |36928| CHANDRODAYA EHPS YESHVANTHPURA                             | 
 bangalore u north | north-2            | yeshwanthpur              |36931| SRI DEENADAYAL HPS YESHWANTHPU                             | 
 bangalore u north | north-3            | banaswadi                 |37055| PARIJATHA HIGH SCHOOL                                      | 
 bangalore u north | north-3            | banaswadi                 |36978| PARIJATHA PRIMARY SCHOOL                                   | 
 bangalore u north | north-3            | banaswadi                 |36969| SIDDARATHA COMPOSITE                                       | 
 bangalore u north | north-3            | banaswadi                 |37042| SIDDARATHA HPS LR PURAM                                    | 
 bangalore u north | north-3            | d.j.halli                 |36934| SRI MALLIKARJUNA SWAMY H S                                 | 
 bangalore u north | north-3            | d.j.halli                 |36970| ST.MARYS ENGLISH HR.PRIMARY SCHOOL                         | 
 bangalore u north | north-3            | frazer town               |36995| AMBUJAMMAL GADI CHELVARAYA H.S                             | 
 bangalore u north | north-3            | frazer town               |37031| INDIRANAGAR HIGH SCHOOL                                    | 
 bangalore u north | north-3            | frazer town               |36977| MARIYANEKETHAN HIGH SCHOOL                                 | 
 bangalore u north | north-3            | frazer town               |36980| MEG UP GRADED PRI SCHOOL RANGA                             | 
 bangalore u north | north-3            | frazer town               |36997| R.B.A.N.MS HIGH SCHOOL                                     | 
 bangalore u north | north-3            | frazer town               |36998| RBANMS BIFURCATED H.S GANGADHARA                           | 
 bangalore u north | north-3            | frazer town               |36993| RBANMS GIVINDAMMAL HPS                                     | 
 bangalore u north | north-3            | frazer town               |36988| RBANMS MIDDELRBANMS MIDDLE SCH DICAN SON R                 | 
 bangalore u north | north-3            | frazer town               |37004| RBANMS THIRUKULATHRA HPS                                   | 
 bangalore u north | north-3            | frazer town               |36986| RBANMS THIRUKULATHRA LPS                                   | 
 bangalore u north | north-3            | frazer town               |36982| TAGORE MONTASSORY HPS                                      | 
 bangalore u north | north-3            | j.c nagar                 |36932| BBMP HIGH SCHOOL GANGANAGAR                                | 
 bangalore u north | north-3            | j.c nagar                 |36933| MAMATHA SCH HMT LAY OUT                                    | 
 bangalore u north | north-3            | j.c nagar                 |36985| VIDYANIKENTHAN H S MATTADAHALLI                            | 
 bangalore u north | north-3            | k.b.sandra                |37058| BENGALURU TAMIL SANGHA HIGH SCHOOL                         | 
 bangalore u north | north-3            | k.b.sandra                |36979| GANDHI SAMRAKA HPS KAVALABYRASANDRA                        | 
 bangalore u north | north-3            | k.b.sandra                |36981| GANDHI SMARAKA H S K.B SANDRA                              | 
 bangalore u north | north-3            | k.b.sandra                |37053| VOKKALIGARA SANGHA HPS                                     | 
 bangalore u north | north-3            | oph road                  |36991| B K A M ENG SCHOOL                                         | 
 bangalore u north | north-3            | oph road                  |36983| HINDU BALIKA HPS                                           | 
 bangalore u north | north-3            | oph road                  |37044| ST ALLOYSIUS HS COXTOWN                                    | 
 bangalore u north | north-3            | oph road                  |37047| ST ROCK GHPS CLEAVELAND TOWN                               | 
 bangalore u north | north-3            | oph road                  |37049| ST.ANTHONYS BOYS H S CLEVELAND T                           | 
 bangalore u north | north-3            | pottery town              |37052| FATHIMA GIRLS HIGH SCHOOL                                  | 
 bangalore u north | north-3            | pottery town              |36984| QUWATHUL ISLAM H S BENSON ROAD                             | 
 bangalore u north | north-3            | pottery town              |37060| SRI RAMAKRISHNA VIVEKANNDA THPS                            | 
 bangalore u north | north-3            | pottery town              |36996| ST ALPHONSUS HIGH SCHOOL                                   | 
 bangalore u north | north-3            | pottery town              |37056| ST. JOSEPH CONVENT GIRLS H S                               | 
 bangalore u north | north-3            | vasanthnagar              |36974| AL-AMEEN KAMBAL POSH KHPS & HS                             | 
 bangalore u north | north-3            | vasanthnagar              |36990| B.S.A.P GIRLS H S TASKER TOWN                              | 
 bangalore u north | north-3            | vasanthnagar              |36994| SMT KAMALA BAI EHPS QUEENS ROAD                            | 
 bangalore u north | north-3            | vasanthnagar              |36992| ST.XAVIERS BOYS HIGH SCH                                   | 
 bangalore u north | north-3            | vasanthnagar              |36987| VIDYANIKENTHAN H S MATTADAHALLI                            | 
 bangalore u north | north-4            | abbigere                  |36999| ANNAPOORNA HIGH SCHOOL                                     | 
 bangalore u north | north-4            | byatarayanpura            |37000| ST JEMS HPS MARIYANNA PALYA                                | 
 bangalore u north | north-4            | byatarayanpura            |36937| VIVEKANANDA PUBLIC SCHOOL                                  | 
 bangalore u north | north-4            | yelehanka new town        |37001| VIDHYA SAGAR HIGHER PRIMARY SCHOOL                         | 
 bangalore u north | north-4            | yelehanka old town        |36936| DIGVIJAYA HIGH SCH                                         | 
 bangalore u north | north-4            | yelehanka old town        |36935| SRI NEELAKANTESHWARA K T T HPS                             | 
 bangalore u south | anekal             | bannerugatta              |36947| CHAMPAKADHAMASWMY HIGH SCHOOL                              | 
 bangalore u south | anekal             | byagadadena halli         |32399| GKLPS KOONMADIVALA                                         |29200427801
 bangalore u south | anekal             | hebbagodi                 |36946| B E S SCHOOL HPS                                           | 
 bangalore u south | anekal             | sab mangala               |35475| GKLPS ASHRAYAMANE YOJANE                                   | 
 bangalore u south | south-1            | basavanagudi              |37054| APSHS NR COLONY                                            | 
 bangalore u south | south-1            | basavanagudi              |37050| MMK HPS NR COLONY                                          | 
 bangalore u south | south-1            | basavanagudi              |36945| RASHTRIYA VIDYALAYA HS                                     | 
 bangalore u south | south-1            | doddagollarahatti         |37051| BHANU HS                                                   | 
 bangalore u south | south-1            | doddagollarahatti         |37057| GKLPS GANTAKANADODDI                                       | 
 bangalore u south | south-1            | hosakerehalli             |36943| BANASHANKARI VIDYA PEETA                                   | 
 bangalore u south | south-1            | hosakerehalli             |36942| SAHAKARI VIDYA KENDRA                                      | 
 bangalore u south | south-1            | hosakerehalli             |36944| SRI CHOWDESHWARI ENG HIGH SCHOOL                           | 
 bangalore u south | south-1            | kagglipura                |37006| APS HS SOMANAHALLI                                         | 
 bangalore u south | south-1            | kagglipura                |36938| NAVAJYOTHI HIGH SCHOOL                                     | 
 bangalore u south | south-1            | kagglipura                |36939| NAVAJYOTHI HPS                                             | 
 bangalore u south | south-1            | kagglipura                |37009| SRI GIRI MARUTHI MAKKAL MANDIRA                            | 
 bangalore u south | south-1            | kagglipura                |37007| ST FRANCIS XAVEIR HIGH SCHOOL                              | 
 bangalore u south | south-1            | karisandra                |32979| GULPS J P NAGAR                                            | 
 bangalore u south | south-1            | kumbalagodu               |37045| VIDYA VIKASA KENDRA GERUPALYA                              | 
 bangalore u south | south-1            | mallatha halli            |37095|  RAJESHWARI HS KENCHENAHALLI(AIDED)                        | 
 bangalore u south | south-1            | mallatha halli            |37094|  RAJESHWARI VIDYA SCHOOL                                   | 
 bangalore u south | south-1            | mallatha halli            |36941| KANAKA KANNADA HPS                                         | 
 bangalore u south | south-1            | mallatha halli            |36917| P.V.P ENGLISH PRI &. HIGH SCHOLL                           | 
 bangalore u south | south-1            | sri nagara                |37046| MAHILA SEVA SAMAJA HIGH SCHOOL KR ROAD                     | 
 bangalore u south | south-1            | utara halli               |37039| DAYANANDA KHPS.                                            | 
 bangalore u south | south-1            | utara halli               |37038| DAYANANDA SAGAR ENG HIGH SCH                               | 
 bangalore u south | south-2            | k.p.agrahara              |37028| BBMP HIGH SCHOOL                                           | 
 bangalore u south | south-2            | k.p.agrahara              |37027| KARNATAKA VIDYA VARDHAKA                                   | 
 bangalore u south | south-2            | k.p.agrahara              |37069| SANGMESHA VIDYA KENDRA HS                                  | 
 bangalore u south | south-2            | kalasipalya               |36949| R K S HPS                                                  | 
 bangalore u south | south-2            | kalasipalya               |37068| ST JOSEPH HPS                                              | 
 bangalore u south | south-2            | kalasipalya               |36948| TIPPU EDUCATION SOCITY                                     | 
 bangalore u south | south-3            | begur                     |37091|  GNANAPRAKASHAM KHPS BILEKALLI                             | 
 bangalore u south | south-3            | begur                     |37075| LAYOLA HPS KALENA AGRAHARA                                 | 
 bangalore u south | south-3            | begur                     |37030| ST TERESA HPS                                              | 
 bangalore u south | south-3            | begur                     |37029| ST TERESA HS                                               | 
 bangalore u south | south-3            | dommaluru                 |37043| BANGALORE MONTESSRY HPS                                    | 
 bangalore u south | south-3            | dommaluru                 |37061| ST ANNE'S GIRLS HIGH SCHOOL                                | 
 bangalore u south | south-3            | dommaluru                 |37063| ST ANNE'S HPS GIRLS SCHOOL                                 | 
 bangalore u south | south-3            | konana kunte              |37074| JSS HPS KONANAKUNTE                                        | 
 bangalore u south | south-3            | lalbagh siddapura         |37099|  SHANTHI KHPS VINAYAKANAGAR                                | 
 bangalore u south | south-3            | lalbagh siddapura         |36954| GANGAMMA HOMBEGOWDA GIRLS HIGH SCHOOL                      | 
 bangalore u south | south-3            | lalbagh siddapura         |37072| GMPS AKKI TIMMANAHALLI                                     | 
 bangalore u south | south-3            | lalbagh siddapura         |36955| HOMBE GOWDA BOYS HIGH SCHOOL                               | 
 bangalore u south | south-3            | lalbagh siddapura         |36957| RANI SARALADEVI HIGH SCHOOL                                | 
 bangalore u south | south-3            | lalbagh siddapura         |36964| RANI SARALADEVI HPS                                        | 
 bangalore u south | south-3            | lalbagh siddapura         |37101| SAMATHAVADA KHPS                                           | 
 bangalore u south | south-3            | lalbagh siddapura         |37100| ST ANDRUS KHPS                                             | 
 bangalore u south | south-3            | madivala                  |37096|  PATEL HPS                                                 | 
 bangalore u south | south-3            | madivala                  |36952| R S MADIVALA                                               | 
 bangalore u south | south-3            | madivala                  |36971| SANGAMESHWARA HPS                                          | 
 bangalore u south | south-3            | madivala                  |36951| SRI SATHYANARAYANA HPS                                     | 
 bangalore u south | south-3            | madivala                  |37070| VIDYA JYOTHI KHPS                                          | 
 bangalore u south | south-3            | yadiyur                   |36966| J S S HIGH SCHOOL                                          | 
 bangalore u south | south-3            | yadiyur                   |36962| N V S K HIGH SCHOOL                                        | 
 bangalore u south | south-3            | yellukunte                |37092|  SVS HPS HONGASANDRA                                       | 
 bangalore u south | south-3            | yellukunte                |36960| SRI CHANNAKESHAVA HIGH SCHOOL                              | 
 bangalore u south | south-3            | yellukunte                |36959| SRI CHANNAKESHAVA HPS                                      | 
 bangalore u south | south-4            | dodda kannahalli          |37090|  ANJANDARI HIGH SCHOOL                                     | 
 bangalore u south | south-4            | dodda kannahalli          |37036| DR AMBEDKER HIGH SCHOOL                                    | 
 bangalore u south | south-4            | dodda kannahalli          |37041| RENUKA HIGH SCHOOL                                         | 
 bangalore u south | south-4            | immadihalli               |37059| RAJ VEERA MADAKARI NAYAKA HS R G HALLI                     | 
 bangalore u south | south-4            | jeevan bima nagar         |37093|  VISHWESHVARIAH HIGH SCHOOL                                | 
 bangalore u south | south-4            | jeevan bima nagar         |37019| DEVANI AMIMAL TAMIL HPS VIMANP                             | 
 bangalore u south | south-4            | jeevan bima nagar         |37020| HAL EAST PRIMARY SCHOOL                                    | 
 bangalore u south | south-4            | jeevan bima nagar         |37025| HAL WEST PRIMARY SCHOOL                                    | 
 bangalore u south | south-4            | jeevan bima nagar         |37017| KAIRALI NILAYAM HIGH SCHOOL HAL                            | 
 bangalore u south | south-4            | jeevan bima nagar         |37016| SACRED HERAT HIGH SCHOOL                                   | 
 bangalore u south | south-4            | jeevan bima nagar         |37023| THPS VIMANAPURA                                            | 
 bangalore u south | south-4            | jeevan bima nagar         |37024| VEERABHADRA SWAMI HPS VIBUTHIP                             | 
 bangalore u south | south-4            | jeevan bima nagar         |37018| VIMANAPUR HIGH SCHOOL HAL                                  | 
 bangalore u south | south-4            | jodihuskar                |37064| SUNDARI AMMAL HS                                           | 
 bangalore u south | south-4            | k r pura                  |37010| BVNHS HIGH SCHOOL                                          | 
 bangalore u south | south-4            | k r pura                  |37026| ITI VIDYA MANDIRA HIGH SCHOOL                              | 
 bangalore u south | south-4            | k r pura                  |37013| ITI VIDYAMANDIRA KANNADA                                   | 
 bangalore u south | south-4            | k r pura                  |37011| ST ANTHONY HIGH SCHOOL T C PALYA                           | 
 bangalore u south | south-4            | k r pura                  |37066| ST TERESA HPS                                              | 
 bangalore u south | south-4            | k r pura                  |37022| ST THEREASA HPS T C PALYA                                  | 
 bangalore u south | south-4            | marath halli              |37067| YUVAKA VIKASA HS                                           | 
 bangalore u south | south-4            | ramamurthy nagar          |37040| MANU HIGHER PRIMARY SCHOOL                                 | 
 bangalore u south | south-4            | ramamurthy nagar          |37014| VIKASA KANNADA HIGH SCHOOL                                 | 
 belgaum           | bailhongal         | ambadgatti                |1792| MissionSchool,IndraNagar,100ft. road                       | 
 belgaum           | bailhongal         | ambadgatti                |1799| Ravenshaw School                                           | 
 bellary           | kudligi            | gachinamatt kottur        |3813| GULPS KOTTUR                                               |29120605005
 bellary           | sandur             | bhujanga nagar            |38183| GLPS   KAMMATHUR                                           |29120702901
 bellary           | sandur             | chornur                   |4036| GUHPS CHORANOOR                                            |29120701801
 bidar             | bhalki             | mehakar                   |5082| GOVT. HPS MAR. BOLEGAON                                    | 
 bidar             | bidar              | gadagi                    |38800| GOVT HPS HAMILAPUR                                         |29050405201
 bijapur           | basavan  bagewadi  | alamatti d s              |27694| UNAIDED B.M.N LPS ALAMATTI RS                              |29030300418
 bijapur           | basavan  bagewadi  | basavana bagewadi         |27973| GOVT. KBLPS B BAGEWADI LT 6                                |29030323801
 bijapur           | basavan  bagewadi  | ingaleshwar               |30166| GLPS SHIVANAND NAGAR                                       | 
 bijapur           | basavan  bagewadi  | narasalagi                |27893| GOVT UBLPS BYLAL                                           | 
 bijapur           | basavan  bagewadi  | yalawar                   |27950| GOVT UBLPS YALAWAR                                         | 
 bijapur           | bijapur  rural     | gunadal                   |28170| GLPS HANUMASAGR KRASA DEVAR GENNUR                         | 
 bijapur           | bijapur  rural     | gunadal                   |28184| GOVT LPS KATRAL                                            |29030506501
 bijapur           | bijapur  rural     | kannur                    |28237| GOVT LPS HIREKURBAR VASTI KANNUR                           | 
 bijapur           | bijapur  rural     | mamadapur                 |28282| GLPS GADAPUR JAINA VASTI UPPALADINN                        | 
 bijapur           | bijapur  rural     | shivanagi urdu            |28098| GOVT.L.P.S JAKATADAR VASTI ITTANGIH                        |29030504809
 bijapur           | bijapur city       | ubmps no 01 dawalat koti  |29508| UBLPS KHURESI COLONY, BIJAPUR                              |29031400141
 bijapur           | chadachan          | chadachan                 |29332| GOVT UBS D NIMBARGI                                        | 
 bijapur           | chadachan          | chadachan(urdu)           |29408| GOVT. ULPS REVATAGAON                                      | 
 bijapur           | chadachan          | horti                     |29258| GOVT HPS SHIRAGUR INAM                                     | 
 bijapur           | chadachan          | horti                     |29253| GOVT LPS SAVALA VASTI                                      | 
 bijapur           | chadachan          | horti                     |29254| GOVT LPS SAVALYAL VASTI SATALAGAO                          |29031301803
 bijapur           | chadachan          | horti                     |31195| LPS KOTNAL.K.V                                             | 
 bijapur           | chadachan          | horti                     |29267| PRIVATE LPS G WASTI JIGANIVANI                             |29031303009
 bijapur           | chadachan          | jigajivanagi              |29382| GOVT LPS JIGAJIVANI LT 4                                   | 
 bijapur           | chadachan          | nivaragi                  |29282| LPS SALMALGI V REVATAGOAN                                  | 
 bijapur           | indi               | agarakhed                 |28385| GOVT L.P.S. SANGMESHWAR VASTI                              | 
 bijapur           | indi               | atharga                   |28393| LPS GHANTI VASTI ATHARGA                                   | 
 bijapur           | indi               | chikkabevanur             |28465| GOVT LPS CHOUDHARI VSTI CHI.BEVANUR                        | 
 bijapur           | indi               | indi (kannada)            |28624| GOVT LPS DIGGIBHAVI INDI                                   | 
 bijapur           | indi               | nad kd                    |28529| LPS SHIRSHYAD HK                                           | 
 bijapur           | indi               | salotagi                  |28560| GOVT HPS MIRAGI                                            | 
 bijapur           | indi               | salotagi                  |28558| GOVT LPS NAGUR VASTI KHEDAGI                               | 
 bijapur           | indi               | salotagi                  |28577| GOVT LPS PUJARI VASTI SALOTAGI                             | 
 bijapur           | indi               | tadwalaga                 |28609| GOVT LPS M KALAVANT VST TADWALGA                           | 
 bijapur           | muddebihal         | basarakod                 |28641| GOVT UBLPS BASARAKOD                                       | 
 bijapur           | muddebihal         | dhavalagi                 |28698| GOVT LPS ASHRAY COLONY MADIKESHWAR                         | 
 bijapur           | muddebihal         | hullur                    |28668| GOVT LPS HANDRAGALL                                        |29031005902
 bijapur           | muddebihal         | hullur                    |28683| UBLPS KANDAGANUR                                           |29031008303
 bijapur           | muddebihal         | muddebihal                |28783| GOVT LPS SHIROL                                            |29031013601
 bijapur           | muddebihal         | nalatawad                 |28805| GOVT LPS NAGARABETT                                        |29031012001
 bijapur           | muddebihal         | talikoti                  |28724| GOVT HPS BOMMANAHALLI                                      | 
 bijapur           | sindagi            | hittinahalli              |29109| GOVT HPS SURAGIHALLI                                       |29031212901
 bijapur           | sindagi            | kalakeri                  |28944| GOVT LPS AMOSHASIDDA KERUTGI LT VAS                        | 
 bijapur           | sindagi            | kalakeri                  |28943| LINGAN GOUD BIRADAR VASTI KERUTGI                          | 
 bijapur           | sindagi            | malaghan                  |29156| GOVT LPS HUMANABAD VASTI MANGALUR                          | 
 bijapur           | sindagi            | malaghan                  |29145| GOVT LPS TANDA VST D.NAVADAGI                              | 
 bijapur           | sindagi            | malaghan                  |29148| HIRAMATA HPS GABASAVALAGI                                  |29031204606
 bijapur           | sindagi            | moratagi                  |29168| GOVT LPS KERURHOSUR                                        | 
 bijapur           | sindagi            | sindagi                   |28904| GOVT KBLPS MANNUR T.VASTI OTH                              |29031210101
 bijapur           | sindagi            | sindagi                   |28918| KGBV SINDAGI                                               | 
 bijapur           | sindagi            | sindagi                   |29923| UBHPS DEVANAGANVA                                          |29031204103
 chamrajnagar      | chamaraja nagar    | arakala vadi              |31108| GLPS MELURU-SASUVE HALLI                                   |29270110401
 chamrajnagar      | chamaraja nagar    | badanaguppe               |6374| GLPS SANNEGOWADANAHUNDI                                    |29270106403
 chamrajnagar      | chamaraja nagar    | chamarajanagar - i        |6623|  GHPS URDU COMPELSARY                                      |29270102302
 chamrajnagar      | chamaraja nagar    | chandaka vadi             |6500| GHPS SARAGUR MOLE                                          |29270112001
 chamrajnagar      | chamaraja nagar    | haradana halli            |29925| GLPS BEVANA THALAPURA                                      |29270109701
 chamrajnagar      | chamaraja nagar    | haradana halli            |29958| GLPS BEVENAPURA                                            | 
 chamrajnagar      | chamaraja nagar    | santhe marahalli          |6584| GHPS KEMPANAPURA                                           |29270117801
 chamrajnagar      | chamaraja nagar    | udigala                   |6433| GHPS KILAGERE                                              |29270111201
 chamrajnagar      | chamaraja nagar    | udigala                   |6431| GHPS MADHALAVADI                                           |29270110801
 chamrajnagar      | chamaraja nagar    | ummatturu                 |6555| GHPS GANAGANUR                                             |29270115601
 chamrajnagar      | chamaraja nagar    | venkataiana chathra       |29951| GHPS BASAVAPURA                                            |29270109301
 chamrajnagar      | gundlupet          | agathagowdanahalli        |6804| GHPS MANCHANA HALLI                                        |29270200801
 chamrajnagar      | gundlupet          | bheemanabeedu             |6631| GHPS MALLAYANPURA                                          | 
 chamrajnagar      | gundlupet          | bommalapura               |29982| GHPS BHOMMALAPURA                                          | 
 chamrajnagar      | gundlupet          | hangala                   |6784| GHPS PUTTANA PURA                                          |29270204301
 chamrajnagar      | gundlupet          | hangala                   |29976| GHPS PUTTANAPUR                                            |29270204301
 chamrajnagar      | gundlupet          | kabbahalli                |6664| GLPS PARAMAPUR                                             |29270211601
 chamrajnagar      | hanur              | lokkanahalli              |6995| GHPS KOLLEGAL                                              | 
 chamrajnagar      | hanur              | martalli                  |29927| GHPS HALEMARTHALLI                                         |29271307701
 chamrajnagar      | kollegal           | kamagere                  |30032| G.H.P.S. KAMAGERE KOLLEGALA                                |29270510001
 chamrajnagar      | kollegal           | kamagere                  |30033| G.L.P.S. LAKKSANHALLI                                      | 
 chamrajnagar      | kollegal           | kamagere                  |6821| GHPS                                                       |29270504901
 chamrajnagar      | kollegal           | kollegal-1                |6863| GHPS HAMPAPURA                                             | 
 chamrajnagar      | kollegal           | kollegal-1                |6872| GLPS                                                       | 
 chamrajnagar      | kollegal           | kollegal-1                |6881| GLPS                                                       |29270521901
 chamrajnagar      | kollegal           | kollegal-1                |29865| GOVT TOWN HPS KOLLEGAL                                     | 
 chamrajnagar      | kollegal           | kothanur                  |6860| GLPSURDU                                                   |29270519402
 chamrajnagar      | kollegal           | kunthur                   |6834| GHPS                                                       |29270503101
 chamrajnagar      | kollegal           | kunthur                   |6833| GHPS                                                       |29270500701
 chamrajnagar      | kollegal           | martalli                  |6907| GLPS                                                       | 
 chamrajnagar      | kollegal           | sathegala                 |6906| GLPS                                                       |29270521101
 chamrajnagar      | kollegal           | sathegala                 |6904| GLPS                                                       |29270518201
