     district      |       block        |          cluster          | klpid |                        institution                         
 chitradurga       | holalkere          | chikkayammiganuru         | 12926 | HPS CHIKKAYAMMIGANUR
 chitradurga       | challakere         | p.mahadevapura            | 12475 | HPS DODDABEERANAHALLY
 kolar             | srinivasapur       | addagal                   | 18470 | GHPS AVAGANAHALLI
 bijapur           | bijapur  rural     | mamadapur                 | 28263 | GOVT HPS DEVAPUR
 chitradurga       | hosadurga          | devigere                  | 13349 | GHPS HERURU
 bijapur           | bijapur city       | k.b.s no.25 bijapur city  | 29429 | GOVT KGHPS NO 11 BIJAPUR
 chamarajanagara   | yelandur           | duggatti                  |  6947 | GHPS HONNUR -1
 bijapur           | sindagi            | hittinahalli              | 29097 | GOVT HPS GANGANAHALLI 
 kolar             | mulbagal           | thayalur                  | 17858 | GHPS YALACHEPALLI
 kolar             | mulbagal           | emmenatha                 | 18165 | GHPS MADDERI
 chikkaballapura   | chikkaballapur     | vaddrapalya               | 10747 | GHPS KETHENAHALLI
 bijapur           | bijapur  rural     | baratagi                  | 28135 | GOVT HPS INGANAL
 bijapur           | bijapur city       | u.g.s no 04 bijapur city  | 29451 | UBHPS AFZALPUR TAKKE 26
 gulbarga          | gulbarga north     | mahagaon                  | 14905 | GOVT HPS DASTAPUR
 gulbarga          | jewargi            | ankalagi                  | 14649 | GOVT HPS ANKALAGA
 gulbarga          | jewargi            | jewargi south             | 14707 | GOVT HPS HARNOOR
 koppal            | gangavathi         | budagumpa                 | 19639 | GLPS MURADI BASAVESWAR CAMP
 koppal            | gangavathi         | chikkajanthakal           | 19816 | GHPS HEBBAL CAMP
 koppal            | gangavathi         | karatagi                  | 19693 | GHPS BOYS KARATAGI
 bijapur           | sindagi            | moratagi urdu             | 29058 | GOVT UBHPS YARAGAL (BK)
 bijapur           | chadachan          | hattalli                  | 29321 | GOVT HPS UMARANI NEW
 kolar             | kolar              | itharasanahalli           | 17272 | GHPS ITHARASANAHALLI
 kolar             | kolar              | kadahalli                 | 17292 | GHPS KADAHALLI
 kolar             | malur              | anepura                   | 17803 | GHPS KONDASETTIHALLI
 kolar             | mulbagal           | hanumanahalli             | 18218 | GHPS HANUMANAHALLI
 kolar             | mulbagal           | padmaghatta (urdu-2)      | 17855 | GUHPS THAYALURU
 chamarajanagara   | chamaraja nagar    | kolipalya                 |  6469 | GLPS MUKANA PALYA
 chamarajanagara   | gundlupet          | begur                     |  6666 | GLPS BELACHALAVADI
 koppal            | koppal             | agalakera                 | 19999 | GHPS NARAYANAPET
 koppal            | koppal             | alawandi                  | 19914 | GHPS GIRLS ALAWANDI
 koppal            | koppal             | budagumpa                 | 20102 | GHPS BUDAGUMPA
 koppal            | koppal             | hiresindhogi              | 19970 | GHPS GUDLANUR
 koppal            | koppal             | hitnal                    | 19983 | GMHPS HULAGI MUNIRABAD
 koppal            | koppal             | kunikeri                  | 20121 | GHPS KUNIKERI TANDA
 raichur           | devadurga          | gabbur                    | 23528 | GMHPS GABBUR
 raichur           | devadurga          | nagadadinni               | 23612 | GHPS JAGIR JADALADINNI
 raichur           | devadurga          | sunkeswarahal             | 23721 | GHPS SHAVANTHAGERA
 raichur           | lingasugur         | guntagol                  | 23993 | GHPS GUNTAGOL
 raichur           | lingasugur         | mediknal                  | 23922 | GHPS MEDAKINHAL
 raichur           | lingasugur         | mudugal                   | 23831 | GHPS KANNADA  HALEPET MUDUGAL
 raichur           | lingasugur         | santhekellur              | 23898 | GHPS HUVINABHAVI
 raichur           | raichur            | gandhal                   | 24491 | GHPS GANADHAL
 raichur           | sindhanur          | 7 mile camp               | 24648 | GHPS 7 MAILI  CAMP
 raichur           | sindhanur          | kalamangi                 | 24622 | GHPS UMALUTI
 raichur           | sindhanur          | kanakanagar sindhanur     | 24630 | GHPS SUKALPET SINDHANUR
 raichur           | sindhanur          | sindhanur                 | 24632 | GHPS UPPARWADI SINDHANUR
 raichur           | sindhanur          | sindhanur                 | 24628 | GHPS BADIBESH SINDHANUR
 raichur           | sindhanur          | sindhanur                 | 24633 | GHPS KOTE SINDHANUR
 raichur           | sindhanur          | sindhanur                 | 24631 | GMHPS  T B P SINDHANUR
 raichur           | sindhanur          | turvihal                  | 24660 | GHPS KOTE THURVIHAL
 raichur           | sindhanur          | turvihal                  | 24665 | GLPS BASAVANNACAMP
 chitradurga       | hosadurga          | doddathekalavatti         | 13224 | GHPS MENASINADU
 yadagiri          | shorapur           | devargonal                | 25343 | GOVT HPS BHAIRIMARDI
 ramanagara        | kanakapura         | halasuru                  | 31804 | GKLPS MURALITHIMANA DODDI
 ramanagara        | kanakapura         | halasuru                  | 31813 | GKLPS KURIMUNDI DODDI
 bijapur           | bijapur  rural     | nagathan                  | 28291 | GOVT KBLPS MAHADEV HALLA HONNALL
 ramanagara        | kanakapura         | herindyapanahalli         | 31821 | GKLPS THIPPURU
 ramanagara        | kanakapura         | chikka muduvadi           | 31926 | GKLPS MEDARADODDI
 ramanagara        | kanakapura         | dodda maralavadi          | 31798 | GKLPS DEVARAHALLI
 ramanagara        | kanakapura         | dodda maralavadi          | 31806 | GKLPS GOLLARADODDI
 ramanagara        | kanakapura         | anedoddi                  | 31809 | GKLPS NARAYANAPURA
 ramanagara        | kanakapura         | herindyapanahalli         | 31793 | GKLPS YEKKULI
 ramanagara        | kanakapura         | herindyapanahalli         | 31794 | GKLPS THATTAGUPPE
 ramanagara        | kanakapura         | dodda maralavadi          | 31801 | GKLPS VASAPATNA
 ramanagara        | kanakapura         | dodda maralavadi          | 31803 | GKLPS DODDABECHALAHATTI
 bagalkot          | badami             | badami                    |  1926 | GOVT LPS TATAKOTI
 ramanagara        | kanakapura         | herindyapanahalli         | 31807 | GKLPS GATTIGUNDA
 ramanagara        | kanakapura         | dodda maralavadi          | 31810 | GKLPS KRISHNABHOVIDODDI
 ramanagara        | kanakapura         | dodda maralavadi          | 31814 | GKLPS KULUMEDODDI
 ramanagara        | kanakapura         | herindyapanahalli         | 31815 | GKLPS ANKEGOWDANADODDI
 ramanagara        | kanakapura         | dodda maralavadi          | 31818 | GKLPS KUMBARADODDI
 ramanagara        | kanakapura         | herindyapanahalli         | 31819 | GKLPS YELAVANATHA
 ramanagara        | channapatna        | akkuru                    | 34631 | G LPS NUNNURU
 ramanagara        | channapatna        | akkuru                    | 34632 | G LPS NARAYANA THIMMANADODDI
 ramanagara        | channapatna        | akkuru                    | 34633 | G LPS PUTTEGOWDANADODDI
 ramanagara        | channapatna        | akkuru                    | 34635 | G LPS VEEREGOWDANADODDI
 ramanagara        | kanakapura         | halasuru                  | 31795 | GKLPS HALASINAMADHADODDI
 ramanagara        | kanakapura         | halasuru                  | 31797 | GKLPS KEMMALE
 ramanagara        | channapatna        | akkuru                    | 34637 | G LPS MAREGOWDANADODDI
 ramanagara        | channapatna        | akkuru                    | 34638 | G LPS CHIKKA BOREGOWDANADODDI
 ramanagara        | channapatna        | chakkere                  | 34641 | G LPS MINIKERE DODDI
 ramanagara        | channapatna        | chakkere                  | 34643 | G LPS GANGEDODDI
 ramanagara        | channapatna        | chakkere                  | 34644 | G LPS KUKKURU
 ramanagara        | kanakapura         | anedoddi                  | 31812 | GKLPS HONNALAGANA DODDI
 bijapur           | indi               | chikkabevanur             | 28460 | GOVT HPS CHIKKBEVANOOR
 chitradurga       | hiriyur            | j.g.halli                 | 12696 | HPS ONIHATTI
 bijapur           | bijapur  rural     | babaleshwar               | 28028 | GOVT HPS DADAMATTI
 kolar             | kolar              | kyalanur                  | 17314 | GHPS BYRANDAHALLI
 bijapur           | bijapur city       | k.b.s no.04 bijapur city  | 29416 | GOVT KBHPS NO 18
 ramanagara        | channapatna        | dashavara                 | 34678 | G LPS GOLLAHALLI DODDI
 ramanagara        | channapatna        | honganuru                 | 34691 | G LPS GOLLARADODDI
 bidar             | bidar              | manhalli                  |  5338 | GOVT LPS URDU RAJGIRA
 bellary           | hagaribommanahalli | bannikal                  |  3365 | GLPS    KONDENA HALLI
 bellary           | siruguppa          | siruguppa 6th ward        |  4131 | GHPS      K.H.B. COLONY
 bellary           | siruguppa          | hatcholli                 |  4187 | GLPS SC COLONY CHIKKABELLARY
 bellary           | siruguppa          | siruguppa 5th ward        |  4130 | GHPS      7TH  8TH  WARD
 gulbarga          | aland              | ambalaga                  | 13735 | GOVT HPS MURADI
 gulbarga          | aland              | salagar (v.k.)            | 13722 | GOVT HPS BHALAKHED
 gulbarga          | aland              | yelasangi                 | 13767 | GOVT HPS ZALAKI (B)
 gulbarga          | chincholi          | chimanchod                | 14005 | GOVT HPS HASARGUNDAGI
 gulbarga          | chincholi          | chincholi urdu            | 14024 | GOVT HPS URDU CHANDAPUR
 gulbarga          | chittapur          | chittapur urdu            | 14243 | GOVT HPS URDU ( BOYS ) CHITTAP
 gulbarga          | chittapur          | madabola                  | 14413 | GOVT HPS MATTIMUD
 gulbarga          | gulbarga south     | nandur (k)                | 14466 | GOVT HPS(KUVEMPU) NANDUR(K)
 koppal            | gangavathi         | gangavathi                | 19657 | GHPS BEDAR ONI GANGAVATHI
 koppal            | gangavathi         | gangavathi                | 19650 | GHPS SIDDIKERI CAMP
 koppal            | gangavathi         | islampur                  | 19799 | GHPS JULAI NAGAR GANGAVATHI
 koppal            | koppal             | alawandi                  | 20057 | GHPS HALAWAGILI
 koppal            | koppal             | halageri                  | 20033 | GHPS WADAGANAHAL
 koppal            | koppal             | irakalagada               | 20046 | GHPS KODADAL
 koppal            | yelburga           | bandi                     | 20473 | GHPS TUMMARAGUDDI
 koppal            | yelburga           | gunnal                    | 20372 | GHPS UCHALAKUNTI
 koppal            | yelburga           | thalakal                  | 20445 | GHPS BHANAPUR
 raichur           | sindhanur          | 7 mile camp               | 24672 | GHPS VIRAPAPURA
 raichur           | sindhanur          | albanur                   | 24748 | GHPS KANNARI
 raichur           | sindhanur          | badarli                   | 24736 | GHPS BADARLI
 raichur           | sindhanur          | badarli                   | 24741 | GLPS GONNIGANUR
 raichur           | sindhanur          | badarli                   | 24744 | GHPS  HEDAGINAL
 raichur           | sindhanur          | devicamp                  | 24718 | GHPS CHIRTNAL.
 raichur           | sindhanur          | hosahalli ej              | 24745 | GHPS HOSALLI  EJ
 raichur           | sindhanur          | hosahalli ej              | 24751 | GLPS SASALAMARICAMP
 raichur           | sindhanur          | pagadadinni               | 24717 | GLPS BUTHALADINNI CAMP
 raichur           | sindhanur          | pagadadinni               | 24725 | GHPS MULLUR E J
 raichur           | sindhanur          | ragalparvi                | 24707 | GLPS DPEP RAGHAVENDRA CAMP
 raichur           | sindhanur          | ramathnal                 | 24757 | GHPS URDU DIDDIGI
 raichur           | sindhanur          | roudakunda                | 24758 | GHPS URDU HUDA
 raichur           | sindhanur          | roudakunda                | 24759 | GHPS URDU MUKKANDA
 raichur           | sindhanur          | roudakunda                | 24686 | GHPS SINGAPUR
 raichur           | sindhanur          | sri venkteswara camp      | 24678 | GHPS MALKAPUR
 raichur           | sindhanur          | thidigol                  | 24668 | GHPS SCHOOL GUDADAMMA
 raichur           | sindhanur          | turvihal                  | 24670 | GHPS RAGHAVENDRA CAMP
 yadagiri          | shahapur           | gogi                      | 24867 | GHPS URDU OLD GOGI
 yadagiri          | yadgir             | chapetla                  | 25640 | GOVT HPS YADALPUR
 chitradurga       | chitradurga        | hireguntanur              | 11960 | GLPS K.TIMMAIYANAHATTI
 ramanagara        | channapatna        | dashavara                 | 34671 | G LPS PATELARADODDI
 ramanagara        | channapatna        | dashavara                 | 34672 | G LPS KOMANAHALLI
 ramanagara        | channapatna        | dashavara                 | 34675 | G LPS ELE HOSAHALLI
 ramanagara        | channapatna        | dashavara                 | 34677 | G LPS ANGARAHALLI
 ramanagara        | channapatna        | dashavara                 | 34679 | G LPS LAMBANIDODDI
 ramanagara        | channapatna        | dashavara                 | 34680 | G LPS DEVARAHOSHALLI
 ramanagara        | channapatna        | dashavara                 | 34681 | G LPS PAREDODDI
 ramanagara        | channapatna        | honganuru                 | 34686 | G LPS CHANNANKEGOWDANADODDI
 ramanagara        | channapatna        | honganuru                 | 34688 | G LPS B.V. PALYA
 ramanagara        | channapatna        | honganuru                 | 34693 | G LPS NAYAKANA THANDYA
 ramanagara        | channapatna        | honganuru                 | 34694 | G LPS VITTALENAHALLI
 ramanagara        | channapatna        | honganuru                 | 34696 | G LPS BHYRASHETTIHALLI
 kolar             | srinivasapur       | nambihalli                | 18357 | GLPS OBEPALLI
 chitradurga       | challakere         | jajuru                    | 12343 | HPS PAGADALABANDE
 chikkaballapura   | chintamani         | k raguttahalli            | 10942 | GHPS SHETTIHALLI
 bijapur           | bijapur  rural     | babanagar                 | 28043 | GOVT KGHPS KANAMADI
 kolar             | srinivasapur       | arikunte                  | 18536 | GHPS MANIGANAHALLI
 bijapur           | sindagi            | sindagi                   | 28890 | GOVT KBHPS BANDAL 
 kolar             | bangarapete        | karadaguru                | 17096 | GHPS KANGANDLAHALLI
 chikkaballapura   | sidlaghatta        | bhaktharahalli            | 11748 | GHPS CHIKKADASARAHALLI
 kolar             | malur              | kudiyanur                 | 17822 | GHPS MYLANDAHALLI
 kolar             | mulbagal           | mudiyanur                 | 17859 | GHPS ARAHALLI
 kolar             | bangarapete        | n.g. hulkur               | 17118 | GHPS N G HULKUR
 kolar             | bangarapete        | s madamangala             | 15109 | GHPS S MADAMANGALA
 bijapur           | basavan  bagewadi  | telagi                    | 27933 | GOVT KBHPS SHIKALAWADI
 chikkaballapura   | gowribidanur       | idagur                    | 11143 | GHPS HALAGANAHALLI
 bijapur           | bijapur city       | ubmps no 01 dawalat koti  | 29515 | GOVT UBHPS NO 9
 chitradurga       | holalkere          | talya                     | 12991 | HPS MADDERU
 chitradurga       | hiriyur            | yelladakere               | 12782 | HPS ARASINAGUNDI
 kolar             | kolar              | arabikothanur             | 17441 | GHPS ARABHIKOTHANUR
 kolar             | kolar              | arabikothanur             | 17463 | GHPS THALAGUNDA
 bijapur           | bijapur  rural     | gunadal                   | 28178 | GOVT HPS KAMBAGI
 chitradurga       | chitradurga        | chikkagondanahalli        | 11918 | HPS CHIKKAPPANAHALLY
 kolar             | kolar              | vakkaleri                 | 17419 | GHPS THIRUMALAKOPPA
 chitradurga       | hosadurga          | kalkere                   | 13317 | GHPS BALLALA SAMUDRA
 ramanagara        | kanakapura         | cheeluru                  | 31841 | GKLPS YADVANHALLI
 ramanagara        | kanakapura         | herindyapanahalli         | 31840 | GKLPS ARAKERE
 ramanagara        | kanakapura         | herindyapanahalli         | 31844 | GKLPS ANTHEGOWDANADODDI
 ramanagara        | kanakapura         | herindyapanahalli         | 31857 | GKLPS INDIRANAGARA
 ramanagara        | kanakapura         | hunasanahalli             | 31854 | GKLPS ARJUNAHALLI
 ramanagara        | kanakapura         | herindyapanahalli         | 31842 | GKLPS GARALAPURA
 ramanagara        | kanakapura         | cheeluru                  | 31843 | GKLPS RASTHE JAKKASANDRA
 ramanagara        | kanakapura         | cheeluru                  | 31845 | GKLPS HEBBIDARAMETLU
 ramanagara        | kanakapura         | cheeluru                  | 31848 | GKLPS BYREGOWDANAVALASE
 ramanagara        | kanakapura         | cheeluru                  | 31852 | GKLPS DEVARAKAGGALAHALLI
 ramanagara        | kanakapura         | banavasi                  | 31851 | GKLPS MARASARAHALLY
 chikkaballapura   | sidlaghatta        | basettyhalli              | 11728 | GHPS BASETTIHALLI
 bijapur           | muddebihal         | dhavalagi                 | 28696 | GOVT HPS LINGADALLI
 bijapur           | basavan  bagewadi  | kolhar                    | 27844 | GOVT KBHPS MATTIHAL
 bijapur           | muddebihal         | rakkasagi                 | 28820 | GOVT HPS GARASANGI
 kolar             | srinivasapur       | ronur                     | 18451 | GHPS KASETTIPALLI
 bellary           | kudligi            | jagatagere                |  3790 | GLPS   MURTHINAYAKANA HALLI
 bellary           | kudligi            | kudligi for girls         |  3787 | GULPS BANDE BASAPUR THANDA
 bidar             | bidar              | faizpura urdu             |  5267 | GOVT HPS URDU FAIZPURA
 bidar             | bidar              | mangalpet                 |  5265 | GOVT LPS POLICE KALYAN MANTAP
 bidar             | humnabad           | chitguppa urdu            | 29890 | GLPS URDU WALKHINDI
 gulbarga          | afzalpur           | ballurgi                  | 13884 | GOVT HPS JEWARGI
 gulbarga          | chincholi          | chimanchod                | 31241 | GLPS GUNDUNAIK TANDA
 gulbarga          | chittapur          | korwar                    | 14301 | GOVT HPS GOTUR
 gulbarga          | gulbarga north     | nagoor                    | 14943 | GOVT HPS NAGOOR
 raichur           | sindhanur          | balaganur                 | 24755 | GHPS URDU BALAGANUR
 koppal            | yelburga           | binnal                    | 20382 | GHPS CHIKKENKOPPA
 raichur           | lingasugur         | nagarhal                  | 23880 | GHPS NARAKALADINNI
 raichur           | manvi              | halapur                   | 24220 | GHPS HIREKADABUR
 raichur           | manvi              | harvi                     | 24244 | GMHPS MADAGIRI
 raichur           | manvi              | sirwar                    | 24146 | GHPS SIRWAR
 raichur           | raichur            | chicksugur                | 24283 | GHPS CHIKKASUGUR
 raichur           | sindhanur          | roudakunda                | 24676 | GHPS HUDA
 raichur           | sindhanur          | thidigol                  | 24655 | GHPS KURAKUNDA
 yadagiri          | shahapur           | halgera                   | 24964 | GHPS GODIHAL
 bijapur           | chadachan          | horti                     | 31195 | LPS KOTNAL.K.V
 yadagiri          | shorapur           | narayanpur                | 25254 | GOVT HPS NARAYANPUR CAMP
 yadagiri          | shorapur           | malla (b)                 | 25187 | GOVT HPS DANDASOLAPUR
 yadagiri          | shorapur           | vajjal                    | 25308 | GOVT HPS HEBBAL [B]I
 yadagiri          | yadgir             | kadechur                  | 25711 | GOVT HPS URDU KADECHUR (RMSA)
 bagalkot          | jamakhandi         | banahatti west            | 29652 | GLPS PATIL VASATI BANAHATTI
 bijapur           | basavan  bagewadi  | basavana bagewadi         | 27952 | GOVT KBHPS NAGUR
 chikkaballapura   | chikkaballapur     | srirampura                | 10765 | GHPS DODDAMARAHALLI
 bijapur           | bijapur  rural     | baratagi                  | 28119 | GOVT HPS BARATAGI
 bijapur           | basavan  bagewadi  | narasalagi                | 27891 | GOVT KBHPS BIDNAL
 bijapur           | basavan  bagewadi  | telagi                    | 27914 | GOVT KBHPS ARASANAGI
 chitradurga       | challakere         | p.mahadevapura            | 12478 | HPS KADEUDE
 chitradurga       | hosadurga          | kanchipura                | 13176 | GHPS NAGATHIHALLI
 bijapur           | sindagi            | sindagi                   | 28911 | GOVT SANGMESWAR HPS 3 SINDGI
 bijapur           | chadachan          | zalaki                    | 29357 | GOVT HPS ZALAKI
 chitradurga       | hosadurga          | malali                    | 13355 | GUHPS AHMED NAGAR
 kolar             | kolar              | thoradevandahalli         | 17434 | GHPS NAKKANAHALLI
 bijapur           | indi               | nimbal kd                 | 28552 | KBHPS NIMBAL RS
 bijapur           | bijapur  rural     | jalageri                  | 28228 | GOVT HPS YATNAL LT 
 bijapur           | bijapur  rural     | tikota                    | 28324 | GOVT KGHPS TIKOTA
 bijapur           | bijapur  rural     | shivanagi urdu            | 28103 | GOVT UBHPS KATAKANAHALLI
 bijapur           | bijapur  rural     | gunadal                   | 28176 | GOVT HPS JAMBAGI (H)
 bijapur           | bijapur  rural     | shivanagi urdu            | 28110 | GOVT UBHPS UTNAL
 chikkaballapura   | gowribidanur       | d palya                   | 11441 | GHPS VENKATAPURA
 kolar             | srinivasapur       | ronur                     | 18460 | GMHPS RONUR
 bijapur           | bijapur  rural     | hittinahalli              | 28159 | GOVT HPS HEGDIHAL LT 
 bangalore u south | anekal             | haragadde                 | 32812 | GKLPS SITHANAYAKANAHALLI
 bangalore u south | anekal             | haragadde                 | 32815 | GKLPS DENABANK BADAVANE
 bangalore u south | anekal             | haragadde                 | 32810 | GKLPS MARUTHINAGARA(JANATHA COLONY)
 bangalore u south | anekal             | haragadde                 | 32811 | GKLPS NAYANA HALLI
 bangalore u south | south-1            | utara halli               | 32818 | GKLPS SRINIVASA COLONY
 bangalore u south | anekal             | haragadde                 | 32813 | GKLPS VADDARAPALYA (HARAGADDE)
 bangalore u south | south-4            | dodda kannahalli          | 32200 | GKLPS SULIKUNTE DINNE
 bangalore u south | anekal             | atthibele                 | 32222 | GKLPS BHAKTHIPURA
 bangalore u north | north-3            | frazer town               | 32202 | GKLPS KADIRAYYANNA PALYA
 kolar             | srinivasapur       | pulugoorkote              | 29788 | GLPS MUDDEPALLY
 bangalore u south | south-1            | kumbalagodu               | 32419 | GKHPS DODDABELE
 bangalore u south | south-4            | dodda kannahalli          | 32194 | GKLPS HALANAYAKANHALLI
 kolar             | mulbagal           | balla                     | 18065 | GLPS VIJALAPURA
 bijapur           | basavan  bagewadi  | h hipparagi               | 27768 | GOVT KBHPS HULABENCHI
 bijapur           | basavan  bagewadi  | h hipparagi               | 27787 | GOVT KBHPS SOLAWADAGI
 kolar             | malur              | chikkathirupathi          | 17697 | GHPS JAYAMANGALA
 bijapur           | basavan  bagewadi  | ingaleshwar               | 27802 | GOVT KGHPS MASABINAL
 bijapur           | indi               | lachyan                   | 28496 | GOVT HPS NEW PADANUR
 bidar             | basavakalyan       | hulsoor                   | 29716 | GOVT. LPS GOVARDHAN THANDA
 bidar             | humnabad           | handikera                 |  5494 | GOVT LPS COLONY CUMAR CHINCHOL
 bidar             | humnabad           | humnabad (urdu)           |  5487 | GOVT HPS FAKIRTEKADA HUMNABAD
 gulbarga          | aland              | hodalur                   | 13629 | GOVT MPS HODALOOR
 gulbarga          | aland              | madanhipparga             | 13647 | GOVT HPS MADANHIPPARGA
 gulbarga          | gulbarga north     | rojatain                  | 14983 | GOVT URDU HPS GIRLS ROZATAIN GLB
 gulbarga          | jewargi            | aralagundagi              | 14681 | GOVT HPS MURUGANOOR
 koppal            | gangavathi         | marali                    | 19764 | GHPS ACHARNARSAPUR
 koppal            | gangavathi         | navali                    | 19743 | GHPS WADAKI
 koppal            | gangavathi         | venkatagiri               | 19838 | G.HPS VENKATAGIRI
 koppal            | koppal             | hasagal                   | 19935 | GHPS HIREBOMMANHAL
 koppal            | koppal             | hiresindhogi              | 19962 | GMHPS HIRESINDHOGI
 koppal            | koppal             | kawalur                   | 19923 | GHPS GIRLS KAWALUR
 koppal            | koppal             | kolur                     | 19961 | GHPS HANDRAL
 koppal            | yelburga           | kudarimoti                | 20358 | GHPS NELJERI
 koppal            | yelburga           | yadiyapura                | 20395 | GHPS BALAGERI
 koppal            | yelburga           | yalaburga                 | 20431 | GHPS HOSAHALLI
 raichur           | devadurga          | kyadigera                 | 29756 | GLPS SAVALA TANDA
 raichur           | lingasugur         | echanal                   | 23966 | GHPS NEERALAKERI
 raichur           | lingasugur         | kalapur                   | 23774 | GHPS AIDANHAL
 raichur           | lingasugur         | lingasugur rural          | 23782 | GMHPS KARADAKAL
 raichur           | manvi              | hirekotnekal              | 24019 | GHPS ADAVI AMARESWAR
 raichur           | raichur            | idapanur                  | 24310 | GMHPS GUNJAHALLI
 bijapur           | chadachan          | nandaragi                 | 29346 | GOVT HPS DUMAKANAL
 bangalore u north | north-3            | murphy town               | 32211 | GKLPS CHIKKA BANASVADI
 bangalore u south | anekal             | haragadde                 | 32805 | GKLPS DYAWASANDRA
 raichur           | raichur            | raichur east              | 24421 | GMHPS MUNNURWADI
 raichur           | raichur            | raichur west              | 24370 | GMHPS SIYATALAB
 raichur           | sindhanur          | bappur                    | 24556 | GHPS BAPPUR
 raichur           | sindhanur          | ragalparvi                | 24706 | GHPS RAGALAPARAVI
 yadagiri          | shahapur           | doranalli                 | 24852 | GMPS DORANAHALLI
 yadagiri          | shahapur           | maddarki                  | 24800 | GHPS MUDABOOL
 yadagiri          | shahapur           | nayakal                   | 24912 | GHPS URDU NAIKAL
 yadagiri          | shahapur           | sagar                     | 24928 | GHPS GIRLS SAGAR
 yadagiri          | shorapur           | hunasagi                  | 25071 | GOVT HPS HUNASAGI
 yadagiri          | yadgir             | putpak                    | 25658 | GOVT HPS URDU SCHOOL
 chitradurga       | hosadurga          | hosdurga town             | 13139 | GHPS[MODELL] HOSDURGA
 yadagiri          | shorapur           | kardakal                  | 25139 | GOVT HPS KARADKAL
 yadagiri          | shorapur           | shorapur                  | 25280 | GOVT HPS KABADGERA SHORAPUR
 chitradurga       | hosadurga          | devapura                  | 13109 | GHPS HONNENAHALLI
 chitradurga       | hosadurga          | kanchipura                | 13165 | GHPS KAGGALAKATTE
 kolar             | srinivasapur       | somayajalahalli           | 18397 | GHPS PATHAMUTHAKAPALLI
 kolar             | malur              | d.n. doddi                | 17712 | GHPS CHANNIGARAYAPURA
 bijapur           | chadachan          | loni                      | 29315 | GOVT HPS TADDEWADI
 bijapur           | muddebihal         | rakkasagi                 | 28826 | GOVT HPS TAKKALAKI
 bijapur           | muddebihal         | tangadagi                 | 28841 | GOVT HPS NEBAGERI
 bijapur           | muddebihal         | balabatti                 | 28857 | GOVT HPS YALAGUR
 bijapur           | chadachan          | nivaragi                  | 29280 | KBHPS NIVARAGI HK
 bijapur           | muddebihal         | talikoti                  | 28731 | GOVT KGHPS B SALAWADGI
 bijapur           | basavan  bagewadi  | donur                     | 27727 | GOVT KBHPS DONUR
 bijapur           | basavan  bagewadi  | golasangi                 | 27755 | GOVT KBHPS TAKKALAKI
 bijapur           | basavan  bagewadi  | narasalagi                | 27902 | GOVT KBHPS KANNAL
 bijapur           | sindagi            | moratagi                  | 29169 | GOVT KBHPS KULE KUMATAGI
 kolar             | mulbagal           | mallanayakanahalli        | 17897 | GMHPS MALLANAYAKANAHALLI
 chitradurga       | hosadurga          | hosdurga town             | 31176 | LPS SHANTI NAGAR
 bangalore u north | north-4            | t.dasarahalli             | 32832 | GKLPS SIDADHAHALLI
 bangalore u north | north-4            | t.dasarahalli             | 32834 | GKLPS T.DASARAHALLI
 bangalore u south | south-4            | dodda kannahalli          | 32185 | GKLPS VALEPURA
 bangalore u south | south-4            | dodda kannahalli          | 32197 | GKLPS KASAVANAHALLI
 bangalore u south | south-1            | cholanayakanahalli        | 32241 | GKLPS KEMPAGONDANAHALLI
 bangalore u north | north-3            | frazer town               | 32203 | GKMPS SARVAGNYA NAGAR
 bangalore u south | south-4            | dodda kannahalli          | 32196 | GKLPS KACHA MARANAHALLI
 bangalore u south | south-4            | dodda kannahalli          | 32190 | GKLPS SULIKUNTE
 bangalore u south | south-4            | dodda kannahalli          | 32193 | GKLPS HADUSIDDAPURA
 bangalore u north | north-4            | byatarayanpura            | 32183 | GULPS JAKKUR LAYOUT
 bangalore u south | south-1            | utara halli               | 32826 | GKLPS KARIYANAPALYA
 bangalore u north | north-1            | shiva nagar               | 32827 | GKLPS INDIRA NAGARA
 bangalore u south | anekal             | huskur                    | 32851 | GKLPS AVALAHALLI (HUSKUR)
 bangalore u north | north-1            | ullau new town            | 33274 | GKLPS GOLLARAPALYA
 bangalore u south | anekal             | huskur                    | 32853 | GKLPS CHIKKANAGAMANGALA
 bangalore u north | north-1            | ullau new town            | 33273 | GKLPS CHIKKAKODIGEHALLI
 chitradurga       | hiriyur            | v.v.pura                  | 31179 | LPS HUCHAWANAHALLI HOSUR
 bangalore u south | south-3            | begur                     | 33095 | GKLPS KALENA AGRAHARA
 bangalore u south | south-4            | dodda kannahalli          | 32186 | GKLPS VALEPURADINNE
 kolar             | kolar              | narasapura                | 17407 | GHPS THORANAKAMBADAHALLI
 bijapur           | muddebihal         | hullur                    | 28681 | GOVT HPS YARZERI
 kolar             | bangarapete        | s madamangala             | 15108 | GHPS KUPPANAHALLI
 kolar             | malur              | shivarapatna              | 17601 | GHPS MUTHAKADAHALLI
 chikkaballapura   | chintamani         | iragampalli               | 11112 | GHPS MINDIGAL
 chikkaballapura   | chintamani         | k raguttahalli            | 10919 | GHPS DODDIHALLI
 kolar             | bangarapete        | balamande                 | 17063 | GHPS BALAMANDE
 bijapur           | sindagi            | devanagaon                | 29068 | GOVT HPS MADANAHALLI
